Word,Count_success,Count_failure,Prob_success,Prob_failure,Diff
py,402,12933,0.0010212273018260153,0.022847199526556138,0.021825972224730122
file,8258,1543,0.020978345916615012,0.0027258353722629026,0.018252510544352108
flag,711,8114,0.0018062005263639227,0.014334042910266489,0.012527842383902567
flag,5474,987,0.013905965796506489,0.001743616015828571,0.012162349780677918
py,5353,857,0.013598581459389702,0.0015139604109068747,0.012084621048482827
file,1511,8536,0.0038384936643261424,0.015079540335473842,0.0112410466711477
key,135,6450,0.00034294946703112455,0.011394451167268777,0.011051501700237653
chall,0,6095,0.0,0.010767314707674914,0.010767314707674914
txt,3993,130,0.010143683124853928,0.00022965560492169628,0.009914027519932232
contents,4042,201,0.010268161079554115,0.00035508289684046886,0.009913078182713645
command,4802,1359,0.012198839560618223,0.0024007843622198865,0.009798055198398336
key,825,6450,0.002095802298523539,0.011394451167268777,0.009298648868745239
py,5353,12933,0.013598581459389702,0.022847199526556138,0.009248618067166436
command,1064,6261,0.002702949873489752,0.011060567249344157,0.008357617375854404
script,508,5124,0.0012905061426060095,0.009051963997067475,0.007761457854461465
txt,3993,1529,0.010143683124853928,0.0027011032301944124,0.007442579894659516
analyze,2843,103,0.007222261739033238,0.00018195790236103627,0.0070403038366722015
contents,166,4218,0.0004217008261271606,0.007451441088920883,0.007029740262793723
http,2646,105,0.006721809553810042,0.00018549106551367777,0.006536318488296364
output,2730,431,0.006935200333296075,0.0007613966593942392,0.006173803673901836
file,8258,8536,0.020978345916615012,0.015079540335473842,0.00589880558114117
it,3154,1235,0.00801231569641605,0.0021817282467561146,0.005830587449659936
it,921,4620,0.0023396774750790053,0.008161606882601822,0.005821929407522816
analyze,96,3416,0.00024387517655546635,0.00603464266471165,0.0057907674881561835
s,2540,394,0.006452530713030047,0.0006960331410703717,0.005756497571959675
files,2444,298,0.006208655536474581,0.0005264413097435807,0.005682214226731001
any,2451,329,0.00622643810143175,0.0005812053386095237,0.005645232762822226
s,218,3495,0.0005537998800947049,0.0061742026092409885,0.005620402729146283
any,276,3549,0.0007011411325969658,0.006269598014362309,0.0055684568817653424
vulnerabilities,2160,103,0.005487191472497993,0.00018195790236103627,0.005305233570136956
source,2185,145,0.005550700633059313,0.00025615432856650736,0.005294546304492806
script,2847,1098,0.007232423204723049,0.0019397065708001732,0.005292716633922876
main,2106,134,0.005350011685685543,0.00023672193122697922,0.005113289754458564
potential,2084,113,0.005294123624391582,0.00019962371812424367,0.005094499906267339
use,2098,140,0.0053296887543059215,0.0002473214206849037,0.005082367333621018
capture,2161,236,0.0054897318389204456,0.00041691325201169475,0.0050728185869087505
challenge,89,2929,0.00022609261159829694,0.0051743174370434495,0.0049482248254451525
found,1977,181,0.005022304417189136,0.00031975126531405405,0.004702553151875082
executable,1953,181,0.004961335623050268,0.00031975126531405405,0.004641584357736215
we,2710,1288,0.006884393004847019,0.002275357070301114,0.004609035934545905
cat,3363,7444,0.00854325227870868,0.013150433254131592,0.0046071809754229115
understand,1867,165,0.00474286411071933,0.0002914859600929222,0.004451378150626408
http,147,2720,0.00037343386410055787,0.0048051018875924145,0.004431668023491857
using,2011,435,0.005108676875552529,0.0007684629856995221,0.004340213889853007
capture,146,2663,0.00037089349767810507,0.004704406737742132,0.004333513240064027
use,84,2565,0.00021339077948603305,0.0045312817432626995,0.0043178909637766666
directory,2072,585,0.005263639227322149,0.0010334502221476332,0.004230189005174516
we,890,3634,0.0022609261159829692,0.006419757448349571,0.004158831332366601
found,112,2515,0.00028452103931471076,0.004442952664446663,0.004158431625131952
n,127,2527,0.0003226265356515024,0.004464151643362511,0.004141525107711009
packed,1610,0,0.004089989940148967,0.0,0.004089989940148967
c,95,2427,0.00024133481013301357,0.0042874934857304375,0.004046158675597424
output,2730,1658,0.006935200333296075,0.0029289922535397877,0.004006208079756287
flecks,1559,0,0.003960431252603876,0.0,0.003960431252603876
delulu,1557,0,0.00395535051975897,0.0,0.00395535051975897
information,1752,281,0.004450721972137261,0.0004964094229461281,0.003954312549191132
code,175,2344,0.0004445641239292356,0.004140867214895816,0.0036963030909665804
locktalk,1435,0,0.0036454258162197314,0.0,0.0036454258162197314
application,144,2259,0.0003658127648331995,0.003990707780908553,0.0036248950160753532
information,235,2352,0.000596986109276402,0.004154999867506382,0.00355801375822998
directory,489,2697,0.0012422391805794067,0.004764470511337038,0.003522231330757631
message,1610,323,0.004089989940148967,0.0005706058491515991,0.003519384090997368
target,80,2094,0.00020322931379622197,0.0036992218208156307,0.0034959925070194085
service,166,2185,0.0004217008261271606,0.003859980744260818,0.0034382799181336575
crush,1352,0,0.0034345754031561513,0.0,0.0034345754031561513
api,1331,0,0.003381227708284643,0.0,0.003381227708284643
src,0,1898,0.0,0.0033529718318567655,0.0033529718318567655
rpgo,0,1888,0.0,0.003335306016093558,0.003335306016093558
understand,1867,4564,0.00474286411071933,0.008062678314327859,0.0033198142036085293
using,303,2291,0.0007697310260031907,0.004047238391350816,0.0032775073653476257
web,111,1977,0.00028198067289225795,0.003492531776386104,0.003210551103493846
extract,1348,127,0.00342441393746634,0.00022435586019273405,0.003200058077273606
encryption,90,1930,0.00022863297802074972,0.0034095024422990295,0.0031808694642782797
host,89,1899,0.00022609261159829694,0.0033547384134330863,0.0031286458018347893
failed,187,1946,0.00047504852099866884,0.003437767747520161,0.0029627192265214925
input,310,2110,0.0007875135909603602,0.0037274871260367624,0.0029399735350764023
function,172,1898,0.0004369430246618772,0.0033529718318567655,0.0029160288071948884
php,0,1646,0.0,0.002907793274623939,0.002907793274623939
failed,1259,193,0.003198321325868043,0.0003409502442299029,0.0028573710816381403
source,2185,1527,0.005550700633059313,0.002697570067041771,0.002853130566017542
decrypt,1208,126,0.003068762638322952,0.0002225892786164133,0.0028461733597065384
files,339,2096,0.0008611842172114906,0.0037027549839682723,0.0028415707667567816
contents,4042,4218,0.010268161079554115,0.007451441088920883,0.0028167199906332313
glibc,1107,0,0.0028121856296552217,0.0,0.0028121856296552217
main,2106,1477,0.005350011685685543,0.002609240988225734,0.002740770697459809
server,237,1875,0.0006020668421213075,0.0033123404556013886,0.002710273613480081
error,420,2125,0.0010669538974301654,0.003753985849681574,0.0026870319522514082
error,1392,504,0.003536190060054262,0.0008903571144656533,0.002645832945588609
rs,0,1479,0.0,0.002612774151378375,0.002612774151378375
out,158,1689,0.0004013778947475384,0.002983756282405731,0.0025823783876581926
cz,1016,0,0.002581012285212019,0.0,0.002581012285212019
message,1610,880,0.004089989940148967,0.0015545917871622517,0.002535398152986715
encrypt,0,1423,0.0,0.002513845583104414,0.002513845583104414
ciphertext,0,1423,0.0,0.002513845583104414,0.002513845583104414
files,2444,2096,0.006208655536474581,0.0037027549839682723,0.002505900552506309
binary,1120,199,0.0028452103931471077,0.0003515497336878274,0.00249366065945928
priv,0,1400,0.0,0.0024732142068490367,0.0024732142068490367
html,1036,103,0.0026318196136610743,0.00018195790236103627,0.002449861711300038
otp,0,1379,0.0,0.0024361159937463014,0.0024361159937463014
vulnerabilities,2160,4476,0.005487191472497993,0.007907219135611635,0.002420027663113642
admin,0,1360,0.0,0.0024025509437962072,0.0024025509437962072
pcap,939,0,0.0023854040706831553,0.0,0.0023854040706831553
port,132,1537,0.00033532836776376624,0.0027152358828049783,0.002379907515041212
test,0,1340,0.0,0.0023672193122697923,0.0023672193122697923
app,1026,139,0.0026064159494365467,0.00024555483910858295,0.002360861110327964
executable,1953,1481,0.004961335623050268,0.0026163073145310167,0.0023450283085192517
extracted,913,0,0.0023193545436993833,0.0,0.0023193545436993833
t,172,1555,0.0004369430246618772,0.0027470343511787516,0.0023100913265168745
data,167,1534,0.00042424119254961336,0.002709936138076016,0.0022856949455264024
system,231,1623,0.0005868246435865909,0.002867161898368562,0.002280337254781971
attempt,81,1388,0.00020576968021867475,0.002452015227933188,0.0022462455477145135
frogwaf,0,1254,0.0,0.0022152932967062088,0.0022152932967062088
main,156,1477,0.00039629716190263284,0.002609240988225734,0.0022129438263231013
out,1005,195,0.0025530682545650387,0.0003444834073825444,0.0022085848471824943
application,1064,290,0.002702949873489752,0.0005123086571330147,0.0021906412163567373
service,1119,377,0.002842670026724655,0.0006660012542729192,0.002176668772451736
source,210,1527,0.0005334769487150827,0.002697570067041771,0.002164093118326688
system,1030,260,0.002616577415126358,0.00045931120984339256,0.0021572662052829652
code,1065,313,0.0027054902399122048,0.0005529400333883918,0.002152550206523813
sage,0,1216,0.0,0.0021481631968060205,0.0021481631968060205
target,1019,251,0.0025886333844793775,0.0004434119756565059,0.0021452214088228715
interact,0,1209,0.0,0.0021357971257717754,0.0021357971257717754
extract,78,1314,0.00019814858095131642,0.002321288191285453,0.0021231396103341365
find,976,205,0.002479397628313908,0.0003621492231457518,0.002117248405168156
chr,828,0,0.0021034233977908975,0.0,0.0021034233977908975
print,921,2514,0.0023396774750790053,0.004441186082870341,0.002101508607791336
data,978,233,0.0024844783611588134,0.00041161350728273255,0.0020728648538760807
as,1078,381,0.002738515003404091,0.0006730675805782021,0.002065447422825889
java,809,0,0.0020551564357642947,0.0,0.0020551564357642947
nettools,0,1161,0.0,0.0020510012101083797,0.0020510012101083797
provided,133,1352,0.000337868734186219,0.0023884182911856414,0.0020505495569994223
run,902,139,0.002291410513052403,0.00024555483910858295,0.00204585567394382
stash,804,0,0.0020424546036520307,0.0,0.0020424546036520307
find,165,1383,0.0004191604597047078,0.002443182320051584,0.002024021860346876
strings,1363,819,0.0034625194338031317,0.0014468303110066864,0.002015689122796445
crc,0,1124,0.0,0.0019856376917845122,0.0019856376917845122
web,594,1977,0.001508977654936948,0.003492531776386104,0.0019835541214491556
process,72,1219,0.00018290638241659976,0.002153462941534983,0.001970556559118383
due,946,269,0.002403186635640325,0.00047521044403027923,0.0019279761916100456
used,156,1311,0.00039629716190263284,0.0023159884465564907,0.0019196912846538578
http,2646,2720,0.006721809553810042,0.0048051018875924145,0.0019167076662176272
ping,834,128,0.002118665596325614,0.00022612244176905478,0.0018925431545565592
server,565,1875,0.0014353070286858176,0.0033123404556013886,0.001877033426915571
txt,337,1529,0.000856103484366585,0.0027011032301944124,0.0018449997458278274
q,721,0,0.0018316041905884505,0.0,0.0018316041905884505
linux,720,0,0.0018290638241659977,0.0,0.0018290638241659977
private,0,1035,0.0,0.0018284119314919665,0.0018284119314919665
echo,767,2135,0.001948461046021278,0.003771651665444781,0.0018231906194235029
v,0,1032,0.0,0.0018231121867630041,0.0018231121867630041
script,2847,5124,0.007232423204723049,0.009051963997067475,0.0018195407923444259
timed,117,1180,0.0002972228714269746,0.002084566260058474,0.0017873433886314992
output,454,1658,0.0011533263557935596,0.0029289922535397877,0.001775665897746228
executable,333,1481,0.0008459420186767739,0.0026163073145310167,0.0017703652958542429
connect,0,998,0.0,0.001763048413168099,0.001763048413168099
access,101,1143,0.00025657700866773024,0.0020192027417346064,0.0017626257330668762
zip,692,0,0.00175793356433732,0.0,0.00175793356433732
function,635,1898,0.0016131326782575118,0.0033529718318567655,0.0017398391535992537
timed,783,144,0.0019891069087805227,0.00025438774699018663,0.001734719161790336
js,680,0,0.0017274491672678866,0.0,0.0017274491672678866
text,673,0,0.0017096666023107172,0.0,0.0017096666023107172
analyzed,622,1856,0.0015801079147656257,0.0032787754056512945,0.0016986674908856688
login,0,959,0.0,0.0016941517316915902,0.0016941517316915902
about,832,238,0.0021135848634807083,0.0004204464151643362,0.0016931384483163722
network,97,1092,0.00024641554297791913,0.0019291070813422487,0.0016826915383643295
host,840,258,0.0021339077948603308,0.00045577804669075104,0.0016781297481695797
running,128,1129,0.00032516690207395514,0.001994470599666116,0.0016693036975921611
apt,657,0,0.0016690207395514728,0.0,0.0016690207395514728
self,0,942,0.0,0.0016641198448941377,0.0016641198448941377
encryption,688,1930,0.0017477720986475089,0.0034095024422990295,0.0016617303436515206
app,1026,2411,0.0026064159494365467,0.004259228180509306,0.001652812231072759
by,240,1275,0.000609687941388666,0.002252391509808944,0.001642703568420278
running,781,196,0.001984026175935617,0.00034624998895886513,0.0016377761869767519
execute,727,123,0.0018468463891231671,0.00021728953388745108,0.0016295568552357161
wallet,0,918,0.0,0.0016217218870624398,0.0016217218870624398
python,173,1165,0.00043948339108433,0.002058067536413663,0.001618584145329333
as,343,1406,0.0008713456829013017,0.0024838136963069614,0.0016124680134056595
def,0,901,0.0,0.0015916900002649872,0.0015916900002649872
listed,626,0,0.001590269380455437,0.0,0.001590269380455437
robust,0,893,0.0,0.0015775573476544214,0.0015775573476544214
port,775,222,0.0019687839774009002,0.0003921811099432044,0.0015766028674576958
